"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","LO_ProvavelConcludente","DEFICIENCIA","COR_RACA","num_idade","BOLSA_CONTA_BANCO_ID","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
ABANDONO,189,2023-08-28 15:26:00.000,"2017","1","2009","1",MESSEJANA                     ,FORTALEZA                     ,CE,0,"0",3,39,,2,1,,
ABANDONO,190,2023-08-28 15:26:00.000,"2017","1","2013","1",JARDIM AMERICA                ,FORTALEZA                     ,CE,0,"0",5,29,,2,1,,
DESISTENTE,191,2018-09-06 00:00:00.000,"2017","1","2016","1",MESTRE ANTÔNIO                ,CAUCAIA                       ,CE,0,"0",2,24,,3,1,,
CURSANDO,192,2017-02-07 10:52:37.253,"2017","1","2016","1",CENTRO                        ,TRAIRI                        ,CE,1,"0",3,24,237,2,2,,
ABANDONO,193,2023-08-28 15:26:00.000,"2017","1","2016","1",BARROCÃO                      ,ITAITINGA                     ,CE,0,"0",3,24,,2,2,,
ABANDONO,194,2023-08-28 15:26:00.000,"2017","1","2012","1",PAPICU                        ,FORTALEZA                     ,CE,0,"0",1,28,,3,2,,
ABANDONO,195,2023-08-28 15:26:00.000,"2017","1","2014","1",MONDUBIM                      ,FORTALEZA                     ,CE,0,"0",2,26,,3,2,,
ABANDONO,196,2023-08-28 15:26:00.000,"2017","1","2016","1",VILA PERI                     ,FORTALEZA                     ,CE,0,"0",1,24,,3,3,,
ABANDONO,197,2023-08-28 15:26:00.000,"2017","1","2016","1",BARRA DO CEARA                ,FORTALEZA                     ,CE,0,"0",2,25,,3,3,,
DESISTENTE,198,2019-03-12 00:00:00.000,"2017","1","2016","1",DIAS MACEDO                   ,FORTALEZA                     ,CE,0,"0",3,27,,2,3,,
CURSANDO,199,2017-02-07 10:17:38.987,"2017","1","2016","1",CENTRO                        ,CASCAVEL                      ,CE,1,"0",3,24,237,2,3,,
ABANDONO,200,2023-08-28 15:26:00.000,"2017","1","2015","1",MESSEJANA                     ,FORTALEZA                     ,CE,0,"0",3,25,,2,4,,
DESISTENTE,201,2018-12-04 00:00:00.000,"2017","1","2016","1",SANTO ANTÔNIO                 ,EUSÉBIO                       ,CE,0,"0",3,23,237,2,4,,
ABANDONO,202,2023-08-28 15:26:00.000,"2017","1","2015","1",JACARECANGA                   ,FORTALEZA                     ,CE,0,"0",3,27,,2,5,,
CURSANDO,203,2017-02-03 11:16:27.023,"2017","1","2015","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",3,25,,2,6,,
CURSANDO,204,2017-02-03 17:02:10.767,"2017","1","2008","1",MONTESE                       ,FORTALEZA                     ,CE,1,"0",3,32,237,2,6,,
CURSANDO,205,2017-12-12 00:00:00.000,"2017","2","1999","1",JOSE DE ALENCAR               ,FORTALEZA                     ,CE,0,"0",2,43,,99,,,
ABANDONO,206,2023-08-28 15:26:00.000,"2017","2","1994","1",MONTESE                       ,FORTALEZA                     ,CE,0,"0",0,45,,99,,,
ABANDONO,207,2023-08-28 15:26:00.000,"2017","2","2003","1",MEIRELES                      ,FORTALEZA                     ,CE,0,"0",0,37,,99,9,104.0,67.7975
CURSANDO,208,2023-08-28 00:00:00.000,"2017","2","2012","1",MONDUBIM                      ,FORTALEZA                     ,CE,1,"0",3,28,237,99,15,102.0,59.0764
DESISTENTE,209,2018-02-06 00:00:00.000,"2017","2","2016","1",PASSARE                       ,FORTALEZA                     ,CE,0,"0",3,24,,99,17,116.0,56.5113
DESISTENTE,210,2018-02-01 00:00:00.000,"2017","2","2017","1",CONJUNTO TIMBO                ,MARACANAU                     ,CE,0,"0",3,23,,99,27,102.0,72.9275
DESISTENTE,211,2018-02-06 00:00:00.000,"2017","2","2017","1",MONTESE                       ,FORTALEZA                     ,CE,0,"0",3,23,,99,28,86.0,71.3885
DESISTENTE,212,2018-05-30 00:00:00.000,"2017","2","2016","1",DIONISIO TORRES               ,FORTALEZA                     ,CE,0,"0",1,24,,99,30,80.0,68.3105
TRANSFERIDO,213,2019-08-23 00:00:00.000,"2017","2","2016","2",JARDIM AMERICA                ,FORTALEZA                     ,CE,0,"0",1,24,,99,33,104.0,48.3033
DESISTENTE,214,2018-01-30 00:00:00.000,"2017","2","2017","1",PAJUCARA                      ,MARACANAU                     ,CE,0,"0",1,23,,99,35,96.0,61.6414
CURSANDO,215,2018-01-25 00:00:00.000,"2017","2","2016","1",CENTRO                        ,PINDORETAMA                   ,CE,0,"0",3,24,,99,39,84.0,70.8755
DESISTENTE,216,2018-02-05 00:00:00.000,"2017","2","2017","1",JOQUEI CLUBE                  ,FORTALEZA                     ,CE,0,"0",1,23,,99,40,92.0,56.5113
DESISTENTE,217,2018-07-09 00:00:00.000,"2017","2","2016","1",ITAPERY                       ,FORTALEZA                     ,CE,0,"0",3,24,,99,5,78.0,63.1804
DESISTENTE,218,2019-04-16 00:00:00.000,"2017","2","2017","1",PAPICU                        ,FORTALEZA                     ,CE,0,"0",1,24,,99,6,80.0,65.7454
CURSANDO,219,2018-01-25 00:00:00.000,"2017","2","2014","1",HENRIQUE JORGE                ,FORTALEZA                     ,CE,0,"0",1,26,,99,7,70.0,49.3293
CURSANDO,220,2018-01-25 00:00:00.000,"2017","2","2015","1",JACARECANGA                   ,FORTALEZA                     ,CE,1,"0",1,25,237,99,9,82.0,62.6674
DESISTENTE,221,2018-04-05 00:00:00.000,"2017","2","2017","1",BARROSO                       ,FORTALEZA                     ,CE,0,"0",3,23,,99,10,90.0,61.1284
ABANDONO,222,2023-08-28 15:26:00.000,"2017","2","2016","1",PASSARE                       ,FORTALEZA                     ,CE,0,"0",1,24,,99,11,90.0,49.3293
DESISTENTE,223,2018-01-30 00:00:00.000,"2017","2","2016","1",QUINTINO CUNHA                ,FORTALEZA                     ,CE,0,"0",1,24,,99,12,92.0,30.8611
CURSANDO,224,2021-03-08 00:00:00.000,"2017","2","2017","1",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",1,28,,99,13,86.0,62.6674
DESISTENTE,225,2018-01-31 00:00:00.000,"2017","2","2017","1",PARQUE PRESIDENTE VARGAS      ,FORTALEZA                     ,CE,0,"0",1,22,,99,15,78.0,44.1992
DESISTENTE,226,2018-01-31 00:00:00.000,"2017","2","2017","1",VILA VELHA                    ,FORTALEZA                     ,CE,0,"0",1,23,,99,17,82.0,43.1732
ABANDONO,227,2023-08-28 15:26:00.000,"2017","2","2004","2",JACARECANGA                   ,FORTALEZA                     ,CE,0,"0",1,36,,99,19,70.0,70.3625
ABANDONO,228,2023-08-28 15:26:00.000,"2017","2","2016","1",Joaquim Távora                ,FORTALEZA                     ,CE,0,"0",1,24,,99,20,88.0,48.8163
DESISTENTE,229,2018-02-05 00:00:00.000,"2017","2","2017","1",MONTESE                       ,FORTALEZA                     ,CE,0,"0",1,23,,99,21,90.0,41.6342
ABANDONO,230,2023-08-28 15:26:00.000,"2017","2","2015","1",MONDUBIM                      ,FORTALEZA                     ,CE,0,"0",1,25,,99,22,64.0,51.3813
GRADUADO,231,2023-07-18 00:00:00.000,"2017","2","2016","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",3,25,237,99,24,74.0,63.1804
CURSANDO,232,2018-01-25 00:00:00.000,"2017","2","2016","2",FATIMA                        ,Fortaleza                     ,CE,0,"0",1,25,1,99,26,68.0,66.2584
CURSANDO,233,2018-01-25 00:00:00.000,"2017","2","2015","1",FARIAS BRITO                  ,FORTALEZA                     ,CE,0,"0",3,25,,99,27,76.0,56.5113
CURSANDO,234,2018-01-25 00:00:00.000,"2017","2","2012","1",PLANALTO ITAPERI              ,FORTALEZA                     ,CE,0,"0",3,29,,99,28,80.0,44.1992
ABANDONO,235,2023-08-28 15:26:00.000,"2017","2","2015","1",MONTE CASTELO                 ,FORTALEZA                     ,CE,0,"0",1,25,,99,32,76.0,60.6154
CURSANDO,236,2018-01-25 00:00:00.000,"2017","2","2015","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",3,25,,99,34,94.0,47.7903
DESISTENTE,237,2018-06-25 00:00:00.000,"2017","2","2017","1",PARQUE DOIS IRMAOS            ,FORTALEZA                     ,CE,0,"0",1,24,,99,35,70.0,70.3625
ABANDONO,238,2023-08-28 15:26:00.000,"2017","2","2015","1",PARREAO                       ,FORTALEZA                     ,CE,0,"0",1,26,,99,38,74.0,55.4853
ABANDONO,239,2023-08-28 15:26:00.000,"2017","2","2016","2",PAPICU                        ,FORTALEZA                     ,CE,0,"0",1,24,,99,39,72.0,62.1544
ABANDONO,240,2023-08-28 15:26:00.000,"2017","2","2017","1",MONDUBIM                      ,FORTALEZA                     ,CE,0,"0",2,23,,99,40,62.0,63.1804
DESISTENTE,241,2018-02-19 00:00:00.000,"2017","2","2017","2",JOAQUIM TAVORA                ,FORTALEZA                     ,CE,0,"0",3,23,,99,41,92.0,33.9391
ABANDONO,242,2023-08-28 15:26:00.000,"2017","2","2016","1",TABAPUA                       ,CAUCAIA                       ,CE,0,"0",3,24,,99,42,72.0,62.6674
DESISTENTE,243,2019-10-01 00:00:00.000,"2017","2","2016","1",JOAO XXIII                    ,FORTALEZA                     ,CE,0,"0",1,24,,99,46,80.0,46.2512
DESISTENTE,244,2018-02-21 00:00:00.000,"2017","2","2017","1",MEIRELES                      ,FORTALEZA                     ,CE,0,"0",3,23,,99,47,76.0,43.6862
CURSANDO,245,2018-01-25 00:00:00.000,"2017","2","2016","1",SAO GERARDO                   ,FORTALEZA                     ,CE,0,"0",3,24,,99,48,62.0,60.6154
DESISTENTE,246,2018-03-13 00:00:00.000,"2017","2","2016","1",ALDEOMA                       ,MARANGUAPE                    ,CE,0,"0",1,24,,99,49,68.0,49.3293
CURSANDO,247,2018-07-12 00:00:00.000,"2018","1","2005","1",LUCIANO CAVALCANTE            ,FORTALEZA                     ,CE,0,"0",3,36,,99,,,
ABANDONO,248,2023-08-28 15:26:00.000,"2018","1","2016","1",CENTRO                        ,FORTALEZA                     ,CE,0,"0",0,24,,99,,,
CURSANDO,249,2018-07-12 00:00:00.000,"2018","1","2004","1",DENDE                         ,FORTALEZA                     ,CE,0,"0",3,36,,99,,,
ABANDONO,250,2023-08-28 15:26:00.000,"2018","1","2017","1",MONTESE                       ,FORTALEZA                     ,CE,0,"0",3,23,,99,,,
