"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","DEFICIENCIA","COR_RACA","num_idade","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
DESISTENTE,107,2023-02-28 00:00:00.000,"2023","1","2022","1",JOSE BONIFACIO                ,FORTALEZA                     ,CE,"0",3,18,99,22,130.0,72.0
DESISTENTE,108,2023-02-28 00:00:00.000,"2023","1","2022","2",PICI                          ,FORTALEZA                     ,CE,"0",1,18,99,23,124.0,70.0
DESISTENTE,109,2023-03-14 00:00:00.000,"2023","1","2022","1",PICI                          ,FORTALEZA                     ,CE,"0",1,19,99,25,124.0,70.0
DESISTENTE,110,2023-02-28 00:00:00.000,"2023","1","2022","1",CENTRO                        ,MARNAGUAPE                    ,CE,"0",1,18,99,27,126.0,72.0
CURSANDO,111,2023-02-13 00:00:00.000,"2023","1","2022","1",MEIRELES                      ,FORTALEZA                     ,CE,"0",3,18,99,28,130.0,61.0
CURSANDO,112,2023-02-13 00:00:00.000,"2023","1","2022","1",PRECABURA                     ,EUSEBIO                       ,CE,"0",3,18,99,29,118.0,69.0
DESISTENTE,113,2023-04-19 00:00:00.000,"2023","1","2022","1",CENTRO                        ,LIMOEIRO DO NORTE             ,CE,"0",3,19,99,1,138.0,69.0
CURSANDO,114,2023-02-13 00:00:00.000,"2023","1","2022","1",PINHOS                        ,MADALENA                      ,CE,"0",0,19,99,2,114.0,61.0
CURSANDO,115,2023-02-13 00:00:00.000,"2023","1","2022","1",COQUERIAL                     ,MARACANAU                     ,CE,"0",0,18,99,4,124.0,64.0
CURSANDO,116,2023-02-13 00:00:00.000,"2023","1","2018","2",CENTRO                        ,FORTALEZA                     ,CE,"0",1,21,99,5,126.0,70.0
DESISTENTE,117,2023-02-28 00:00:00.000,"2023","1","2022","2",PASSARE                       ,FORTALEZA                     ,CE,"0",0,18,99,6,124.0,71.0
CURSANDO,118,2023-02-13 00:00:00.000,"2023","1","2022","1",QUINTINO CUNHA                ,FORTALEZA                     ,CE,"0",0,19,99,7,130.0,56.0
ABANDONO,119,2023-11-27 16:45:00.000,"2023","1","2022","1",CAJAZEIRAS                    ,FORTALEZA                     ,CE,"0",1,18,99,8,112.0,67.0
DESISTENTE,120,2023-02-28 00:00:00.000,"2023","1","2022","1",PLANALTO PARAISO              ,MARANGUAPE                    ,CE,"0",3,18,99,9,136.0,72.0
CURSANDO,121,2023-02-13 00:00:00.000,"2023","1","2022","1",MONTE CASTELO                 ,FORTALEZA                     ,CE,"0",1,19,99,11,118.0,70.0
CURSANDO,122,2023-02-13 00:00:00.000,"2023","1","2022","1",JOQUEI CLUBE                  ,FORTALEZA                     ,CE,"10",3,18,99,12,118.0,67.0
ABANDONO,123,2023-11-27 16:45:00.000,"2023","1","2022","2",CROATA II                     ,PACAJUS                       ,CE,"0",1,19,99,14,132.0,62.0
CURSANDO,124,2023-02-13 00:00:00.000,"2023","1","2022","1",BAIRRO DE FATIMA              ,FORTALEZACE                   ,CE,"0",1,18,99,15,114.0,69.0
CURSANDO,125,2023-02-13 00:00:00.000,"2023","1","2022","1",FATIMA                        ,FORTALEZA                     ,CE,"0",1,19,99,16,116.0,57.0
DESISTENTE,126,2023-02-28 00:00:00.000,"2023","1","2022","1",CACIMBA DO POVO               ,ARACATI                       ,CE,"0",1,18,99,17,136.0,63.0
DESISTENTE,127,2023-03-17 00:00:00.000,"2023","1","2022","2",SAO JOAO DO TAUAPE            ,FORTALEZA                     ,CE,"0",1,18,99,19,124.0,70.0
CURSANDO,128,2023-03-14 00:00:00.000,"2023","1","2020","1",SAPIRANGA                     ,FORTALEZA                     ,CE,"0",0,21,99,22,122.0,71.0
DESISTENTE,129,2023-03-29 00:00:00.000,"2023","1","2022","2",BOM JARDIM                    ,FORTALEZA                     ,CE,"0",3,18,99,30,112.0,63.0
CURSANDO,130,2023-03-14 00:00:00.000,"2023","1","2022","1",MONTESE                       ,FORTALEZA                     ,CE,"0",3,19,99,33,114.0,69.0
CURSANDO,131,2023-03-14 00:00:00.000,"2023","1","2020","1",PARANGABA                     ,FORTALEZA                     ,CE,"0",3,21,99,34,112.0,69.0
DESISTENTE,132,2023-07-26 00:00:00.000,"2023","1","2022","2",CIDADE DOS FUNCIONARIOS       ,FORTALEZA                     ,CE,"0",3,18,99,37,112.0,71.0
CURSANDO,133,2023-07-25 00:00:00.000,"2023","2","2016","1",DENDE                         ,FORTALEZA                     ,CE,"0",3,24,2,1,88.0,58.6105
CURSANDO,134,2023-07-25 00:00:00.000,"2023","2","2017","1",PEDRAS                        ,FORTALEZA                     ,CE,"5",3,23,1,1,88.0,40.4636
CURSANDO,135,2023-07-25 00:00:00.000,"2023","2","2021","1",ARATURI                       ,CAUCAIA                       ,CE,"0",1,20,3,1,124.0,66.5004
CURSANDO,136,2023-07-25 00:00:00.000,"2023","2","2009","1",SERRINHA                      ,FORTALEZA                     ,CE,"0",0,31,3,2,110.0,66.5004
CURSANDO,137,2023-07-25 00:00:00.000,"2023","2","2022","1",FLORESTA                      ,FORTALEZA                     ,CE,"0",3,18,2,2,74.0,61.7664
CURSANDO,138,2023-07-25 00:00:00.000,"2023","2","2023","1",QUINTINO CUNHA                ,FORTALEZA                     ,CE,"0",3,29,2,3,72.0,60.1884
CURSANDO,139,2023-07-25 00:00:00.000,"2023","2","2021","1",DIAS MACEDO                   ,FORTALEZA                     ,CE,"0",0,19,3,3,92.0,57.0325
CURSANDO,140,2023-07-25 00:00:00.000,"2023","2","2022","2",DIAS MACEDO                   ,FORTALEZA                     ,CE,"0",0,19,3,4,92.0,70.4454
CURSANDO,141,2023-07-25 00:00:00.000,"2023","2","2018","1",SAO JOAO DO TAUAPE            ,FORTALEZA                     ,CE,"0",3,22,2,4,66.0,61.7664
CURSANDO,142,2023-07-25 00:00:00.000,"2023","2","2013","2",BARRA DO CEARA                ,FORTALEZA                     ,CE,"0",3,27,2,5,80.0,43.6196
CURSANDO,143,2023-07-25 00:00:00.000,"2023","2","2021","1",MONDUBIM                      ,FORTALEZA                     ,CE,"0",1,19,3,5,92.0,64.1334
CURSANDO,144,2023-07-25 00:00:00.000,"2023","2","2016","2",PARANGABA                     ,FORTALEZA                     ,CE,"0",3,24,2,6,78.0,42.8306
CURSANDO,145,2023-07-25 00:00:00.000,"2023","2","2012","2",PARQUE DOM PEDRO              ,ITAITINGA                     ,CE,"0",1,28,3,7,94.0,59.3995
CURSANDO,146,2023-07-25 00:00:00.000,"2023","2","2021","2",MESSEJANA                     ,FORTALEZA                     ,CE,"0",0,19,3,1,92.0,64.1334
CURSANDO,147,2023-07-25 00:00:00.000,"2023","2","2023","1",MEIRELES                      ,FORTALEZA                     ,CE,"0",0,19,99,7,142.0,71.2344
CURSANDO,148,2023-07-25 00:00:00.000,"2023","2","2019","1",SERRINHA                      ,FORTALEZA                     ,CE,"0",1,21,99,9,136.0,63.3444
CURSANDO,149,2023-07-25 00:00:00.000,"2023","2","2022","1",SAPIRANGA                     ,FORTALEZA                     ,CE,"0",1,18,99,10,134.0,67.2894
CURSANDO,150,2023-07-25 00:00:00.000,"2023","2","2022","1",ALDEOTA                       ,FORTALEZA                     ,CE,"0",1,18,99,15,128.0,67.2894
CURSANDO,151,2023-07-25 00:00:00.000,"2023","2","2021","1",ITAPERI                       ,FORTALEZA                     ,CE,"0",1,19,99,20,116.0,53.0875
CURSANDO,152,2023-07-25 00:00:00.000,"2023","2","2021","2",LUCIANO CAVALCANTE            ,FORTALEZA                     ,CE,"0",1,19,99,24,120.0,71.2344
CURSANDO,153,2023-07-25 00:00:00.000,"2023","2","2020","2",ALDEOTA                       ,FORTALEZA                     ,CE,"0",1,21,99,26,106.0,68.0784
CURSANDO,154,2023-07-25 00:00:00.000,"2023","2","2022","2",PARQUE DOIS IRMAOS            ,FORTALEZA                     ,CE,"0",3,19,99,3,124.0,70.4454
CURSANDO,155,2023-07-25 00:00:00.000,"2023","2","2022","1",PRAIA DE IRACEMA              ,FORTALEZA                     ,CE,"0",3,19,99,5,110.0,67.2894
